"Id","5913e1da8b0ee5cf0c53b209","5b7de8ab463f260f62cebb7c","5913e1da8b0ee5cf0c53b206"
"Timestamp","dsit10/112 - Johnstone/1120054 - JRC - Johnstone River at Coquette Point/Real-time Data/Logger/Sonde - Conductivity","dsit10/112 - Johnstone/1120054 - JRC - Johnstone River at Coquette Point/Real-time Data/Logger/Sonde - SondeTemp","dsit10/112 - Johnstone/1120054 - JRC - Johnstone River at Coquette Point/Real-time Data/Logger/Sonde - Turbidity"
"Units","uS/cm","","NTU"
2017-05-25 22:30:00,50369.2,,8.09
2017-05-25 23:30:00,48853.5,,10.01
2017-05-26 00:30:00,40174.6,,8.04
2017-05-26 01:30:00,30296.4,,12.6
2017-05-26 02:30:00,23357.1,,14.84
2017-05-26 03:30:00,17094.6,,8.32
2017-05-26 04:30:00,12638.8,,7.12
2017-05-26 05:30:00,18019.8,,8.46
2017-05-26 06:30:00,45286.8,,10.53
2017-05-26 07:30:00,48662.6,,9.72
2017-05-26 08:30:00,49329.5,,8.54
2017-05-26 09:30:00,49907.3,,8.53
2017-05-26 10:30:00,49580,,7.7
2017-05-26 11:30:00,36920.8,,9.27
2017-05-26 12:30:00,26541.9,,22.63
2017-05-26 13:30:00,16758.2,,23.89
2017-05-26 14:30:00,10401.6,,39.8
2017-05-26 15:30:00,6628.05,,31.63
2017-05-26 16:30:00,5061.1,,24.83
2017-05-26 17:30:00,5119.2,,12.87
2017-05-26 18:30:00,30011.5,,21.03
2017-05-26 19:30:00,47848.5,,10.04
2017-05-26 20:30:00,49554.8,,8.1
2017-05-26 21:30:00,50049.2,,20.91
2017-05-26 22:30:00,50286.4,,14.84
2017-05-26 23:30:00,49882.2,,7.69
2017-05-27 00:30:00,48107.3,,10.38
2017-05-27 01:30:00,38875.6,,15.78
2017-05-27 02:30:00,30594.8,,14.76
2017-05-27 03:30:00,22316.3,,15.34
2017-05-27 04:30:00,17253.9,,9.11
2017-05-27 05:30:00,13339.5,,9.2
2017-05-27 06:30:00,19661.3,,10.99
2017-05-27 07:30:00,43609.4,,15.22
2017-05-27 08:30:00,48378.6,,12.2
2017-05-27 09:30:00,48946.7,,18.12
2017-05-27 10:30:00,44398.5,,11.32
2017-05-27 11:30:00,47801.6,,6.88
2017-05-27 12:30:00,35087.1,,8.82
2017-05-27 13:30:00,23840.1,,14.16
2017-05-27 14:30:00,14853.1,,20.68
2017-05-27 15:30:00,9003.22,,44
2017-05-27 16:30:00,6255.99,,35.61
2017-05-27 17:30:00,4146.91,,13.55
2017-05-27 18:30:00,6441.64,,11.74
2017-05-27 19:30:00,41581.1,,12.95
2017-05-27 20:30:00,49835.4,,26.13
2017-05-27 21:30:00,50818.9,,12.4
2017-05-27 22:30:00,51122.1,,10.03
2017-05-27 23:30:00,50971.9,,8.73
2017-05-28 00:30:00,50589.1,,11.82
2017-05-28 01:30:00,48350.2,,17.57
2017-05-28 02:30:00,41403.6,,10.62
2017-05-28 03:30:00,33095.4,,15.92
2017-05-28 04:30:00,24239.3,,12.5
2017-05-28 05:30:00,19096.4,,11.2
2017-05-28 06:30:00,15281.3,,9.27
2017-05-28 07:30:00,19592,,7.47
2017-05-28 08:30:00,25955.6,,8.68
2017-05-28 09:30:00,48536,,9.26
2017-05-28 10:40:00,49375.4,,10.59
2017-05-28 11:40:00,35750.4,,7.26
2017-05-28 12:40:00,36384.2,,9.38
2017-05-28 13:40:00,30267.8,,7.14
2017-05-28 14:40:00,23669.6,,30.15
2017-05-28 15:40:00,15268.4,,19.65
2017-05-28 16:40:00,10253.3,,30.6
2017-05-28 17:40:00,7116.47,,10.45
2017-05-28 18:40:00,7699.06,,8.11
2017-05-28 19:40:00,10677.6,,10.39
2017-05-28 20:40:00,44936.9,,8.93
2017-05-28 21:40:00,48295,,10.69
2017-05-28 22:40:00,49835,,6.89
2017-05-28 23:40:00,50107.9,,7.66
2017-05-29 00:40:00,50604.4,,7.65
2017-05-29 01:40:00,49949.1,,8.91
2017-05-29 02:40:00,46517.7,,7.31
2017-05-29 03:40:00,38624.3,,5.72
2017-05-29 04:40:00,34256.6,,8.48
2017-05-29 05:40:00,28059.7,,6.97
2017-05-29 06:40:00,20559.1,,6.2
2017-05-29 07:40:00,15913.7,,6.02
